originalquesid,questionid,title,question,tags,link,source,preparedtitle
"1066589,4234985,",46898,How do I efficiently iterate over each entry in a Java Map?,"
If I have an object implementing the Map interface in Java and I wish to iterate over every pair contained within it,  what is the most efficient way of going through the map?
Will the ordering of elements depend on the specific map implementation that I have for the interface?
","java,dictionary,collections,iteration,",https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map,https://stackoverflow.com, efficiently iterate entry java map 
"1911109,4811434,",1778088,How do I clone a single branch in Git?,"
I have a local Git repository called 'skeleton' that I use for storing project skeletons. It has a few branches, for different kinds of projects:
casey@agave [~/Projects/skeleton] git branch
* master
  rails
  c
  c++

If I want to check out the master branch for a new project, I can do
casey@agave [~/Projects] git clone skeleton new
Initialized empty Git repository in /Users/casey/Projects/new/.git/

and everything is how I want it. Specifically, the new master branch points to the skeleton master branch, and I can push and pull to move around changes to the basic project setup.
What doesn't work, however, is if I want to clone another branch. I can't get it so that I only pull the branch I want, for instance the rails branch, and then the new repository has a master branch that pushes to and pulls from the skeleton repository's rails branch, by default.
Is there a good way to go about doing this? Or, maybe this isn't the way that Git wants me to structure things, and I'm certainly open to that. Perhaps I should have multiple repositories, with the Ruby on Rails skeleton repository tracking the master skeleton repository? And any individual project cloning the Ruby on Rails skeleton repository.
","git,branch,git-clone,",https://stackoverflow.com/questions/1778088/how-do-i-clone-a-single-branch-in-git,https://stackoverflow.com, clone single branch git 
"510348,",377454,How do I get my Python program to sleep for 50 milliseconds?,"
How do I get my Python program to sleep for 50 milliseconds?
","python,timer,sleep,",https://stackoverflow.com/questions/377454/how-do-i-get-my-python-program-to-sleep-for-50-milliseconds,https://stackoverflow.com, get python program sleep 50 milliseconds 
"576169,",222877,What does 'super' do in Python?,"
What's the difference between:
class Child(SomeBaseClass):
    def __init__(self):
        super(Child, self).__init__()

and:
class Child(SomeBaseClass):
    def __init__(self):
        SomeBaseClass.__init__(self)

I've seen super being used quite a lot in classes with only single inheritance. I can see why you'd use it in multiple inheritance but am unclear as to what the advantages are of using it in this kind of situation.
","python,oop,inheritance,super,",https://stackoverflow.com/questions/222877/what-does-super-do-in-python,https://stackoverflow.com,  super  python 
"1139762,",1274057,How to make Git “forget” about a file that was tracked but is now in .gitignore?,"
There is a file that was being tracked by git, but now the file is on the .gitignore list.
However, that file keeps showing up in git status after it's edited. How do you force git to completely forget about it?
","git,gitignore,git-rm,",https://stackoverflow.com/questions/1274057/how-to-make-git-forget-about-a-file-that-was-tracked-but-is-now-in-gitignore,https://stackoverflow.com, make git  forget  file tracked  gitignore 
"3390396,",27509,Detecting an undefined object property,"
What's the best way of checking if an object property in JavaScript is undefined?
","javascript,object,undefined,object-property,",https://stackoverflow.com/questions/27509/detecting-an-undefined-object-property,https://stackoverflow.com, detecting undefined object property
"9834689,",822811,Showing which files have changed between two revisions,"
I want to merge two branches that have been separated for a while and wanted to know which files have been modified.
Came across this link: http://linux.yyz.us/git-howto.html which was quite useful.
The tools to compare branches I've come across are:

git diff master..branch
git log master..branch
git shortlog master..branch

Was wondering if there's something like ""git status master..branch"" to only see those files that are different between the two branches.
Without creating a new tool, I think this is the closest you can get to do that now (which of course will show repeats if a file was modified more than once):

git diff master..branch | grep ""^diff""

Was wondering if there's something I missed...
","git,branch,git-branch,git-diff,",https://stackoverflow.com/questions/822811/showing-which-files-have-changed-between-two-revisions,https://stackoverflow.com, showing file changed two revision
"8865458,356809,",19461521,How to center an element horizontally and vertically,"
I am trying to center my tabs content vertically, but when I add the CSS style display:inline-flex, the horizontal text-align disappears.
How can I make both text alignments x and y for each of my tabs?


* { box-sizing: border-box; }
#leftFrame {
  background-color: green;
  position: absolute;
  left: 0;
  right: 60%;
  top: 0;
  bottom: 0;
}
#leftFrame #tabs {
  background-color: red;
  position: absolute;
  top: 0;
  left: 0;
  right: 0;
  height: 25%;
}
#leftFrame #tabs div {
  border: 2px solid black;
  position: static;
  float: left;
  width: 50%;
  height: 100%;
  text-align: center;
  display: inline-flex;
  align-items: center;
}
<div id=leftFrame>
  <div id=tabs>
    <div>first</div>
    <div>second</div>
  </div>
</div>



","html,css,",https://stackoverflow.com/questions/19461521/how-to-center-an-element-horizontally-and-vertically,https://stackoverflow.com, center element horizontally vertically
"5137497,4934806,",3718657,How do you properly determine the current script directory in Python?,"
I would like to see what is the best way to determine the current script directory in Python.
I discovered that, due to the many ways of calling Python code, it is hard to find a good solution.
Here are some problems:

__file__ is not defined if the script is executed with exec, execfile
__module__ is defined only in modules

Use cases:

./myfile.py
python myfile.py
./somedir/myfile.py
python somedir/myfile.py
execfile('myfile.py') (from another script, that can be located in another directory and that can have another current directory.

I know that there is no perfect solution, but I'm looking for the best approach that solves most of the cases.
The most used approach is os.path.dirname(os.path.abspath(__file__)) but this really doesn't work if you execute the script from another one with exec().
Warning
Any solution that uses current directory will fail, this can be different based on the way the script is called or it can be changed inside the running script.
","python,pythonpath,dirname,",https://stackoverflow.com/questions/3718657/how-do-you-properly-determine-the-current-script-directory-in-python,https://stackoverflow.com, properly determine current script directory python 
"10725729,",3573623,Is it possible to preview stash contents in git?,"
I often put work away for later, then other stuff comes along, and a few weeks later, I want to inspect the stash, and find out what changes it would make if I applied it to working tree in its current state.
I know I can do a git diff on the stash, but this shows me all the differences between the working tree and the stash, whereas I'm just interested to know what the stash apply is going to change.
How can I do this?
","git,git-stash,",https://stackoverflow.com/questions/3573623/is-it-possible-to-preview-stash-contents-in-git,https://stackoverflow.com, possible preview stash content git 
"767486,",4775722,How to check if an object is an array?,"
I'm trying to write a function that either accepts a list of strings, or a single string. If it's a string, then I want to convert it to an array with just the one item so I can loop over it without fear of an error.
So how do I check if the variable is an array?

I've rounded up the various solutions below and created a jsperf test. They're all fast, so just use Array.isArray -- it's well-supported now and works across frames.
","javascript,arrays,javascript-objects,",https://stackoverflow.com/questions/4775722/how-to-check-if-an-object-is-an-array,https://stackoverflow.com, check object array 
"5706437,",38549,What is the difference between “INNER JOIN” and “OUTER JOIN”?,"
Also how do LEFT JOIN, RIGHT JOIN and FULL JOIN fit in?
","sql,database,join,inner-join,outer-join,",https://stackoverflow.com/questions/38549/what-is-the-difference-between-inner-join-and-outer-join,https://stackoverflow.com, difference  inner join   outer join  
"28002,",332030,"When should static_cast, dynamic_cast, const_cast and reinterpret_cast be used?","
What are the proper uses of:

static_cast
dynamic_cast
const_cast
reinterpret_cast
C-style cast (type)value
Function-style cast type(value)

How does one decide which to use in which specific cases?
","c++,pointers,casting,c++-faq,",https://stackoverflow.com/questions/332030/when-should-static-cast-dynamic-cast-const-cast-and-reinterpret-cast-be-used,https://stackoverflow.com, static cast  dynamic cast  const cast reinterpret cast used 
"2862590,",2763006,Make the current Git branch a master branch,"
I have a repository in Git. I made a branch, then did some changes both to the master and to the branch.
Then, tens of commits later, I realized the branch is in much better state than the master, so I want the branch to ""become"" the master and disregard the changes on master.
I cannot merge it, because I don't want to keep the changes on master. What should I do?
Extra: In this case, the 'old' master has already been push-ed to another repository such as GitHub. How does this change things?
","git,",https://stackoverflow.com/questions/2763006/make-the-current-git-branch-a-master-branch,https://stackoverflow.com, make current git branch master branch
"448919,",1270514,Undoing a 'git push',"
Here's what I did on my supposed-to-be-stable branch...
% git rebase master
First, rewinding head to replay your work on top of it...
Fast-forwarded alpha-0.3.0 to master.
% git status
# On branch alpha-0.3.0
# Your branch is ahead of 'origin/alpha-0.3.0' by 53 commits.
#
nothing to commit (working directory clean)
% git push
Fetching remote heads...
  refs/
  refs/heads/
  refs/tags/
  refs/remotes/
'refs/heads/master': up-to-date
updating 'refs/heads/alpha-0.3.0'
  from cc4b63bebb6e6dd04407f8788938244b78c50285
  to   83c9191dea88d146400853af5eb7555f252001b0
    done
'refs/heads/unstable': up-to-date
Updating remote server info

That was all a mistake as I later realized. I'd like to undo this entire process, and revert the alpha-0.3.0 branch back to what it was.
What should I do?
","git,git-push,",https://stackoverflow.com/questions/1270514/undoing-a-git-push,https://stackoverflow.com, undoing  git push 
"452859,",2624713,Insert multiple rows WITHOUT repeating the “INSERT INTO …” part of the statement?,"
I know I've done this before years ago, but I can't remember the syntax, and I can't find it anywhere due to pulling up tons of help docs and articles about ""bulk imports"".
Here's what I want to do, but the syntax is not exactly right... please, someone who has done this before, help me out :)
INSERT INTO dbo.MyTable (ID, Name)
VALUES (123, 'Timmy'),
    (124, 'Jonny'),
    (125, 'Sally')

I know that this is close to the right syntax. I might need the word ""BULK"" in there, or something, I can't remember. Any idea?
I need this for a SQL Server 2005 database. I've tried this code, to no avail:
DECLARE @blah TABLE
(
    ID INT NOT NULL PRIMARY KEY,
    Name VARCHAR(100) NOT NULL
)

INSERT INTO @blah (ID, Name)
    VALUES (123, 'Timmy')
    VALUES (124, 'Jonny')
    VALUES (125, 'Sally')

SELECT * FROM @blah

I'm getting Incorrect syntax near the keyword 'VALUES'.
","sql-server,tsql,sql-server-2005,insert,",https://stackoverflow.com/questions/2624713/insert-multiple-rows-without-repeating-the-insert-into-part-of-the-stateme,https://stackoverflow.com, insert multiple row without repeating  insert      part statement 
"4935632,",45015,Safely turning a JSON string into an object,"
Given a string of JSON data, how can I safely turn that string into a JavaScript object?
Obviously I can do this unsafely with something like:
var obj = eval(""("" + json + ')');

but that leaves me vulnerable to the JSON string containing other code, which it seems very dangerous to simply eval.
","javascript,json,parsing,",https://stackoverflow.com/questions/45015/safely-turning-a-json-string-into-an-object,https://stackoverflow.com, safely turning json string object
"523643,",359494,Which equals operator (== vs ===) should be used in JavaScript comparisons?,"



I'm using JSLint to go through JavaScript, and it's returning many suggestions to replace == (two equals signs) with === (three equals signs) when doing things like comparing idSele_UNVEHtype.value.length == 0 inside of an if statement.
Is there a performance benefit to replacing == with ===? 
Any performance improvement would be welcomed as many comparison operators exist.
If no type conversion takes place, would there be a performance gain over ==?
","javascript,operators,equality,equality-operator,identity-operator,",https://stackoverflow.com/questions/359494/which-equals-operator-vs-should-be-used-in-javascript-comparisons,https://stackoverflow.com, equal operator     v      used javascript comparisons 
"12179271,",136097,Difference between staticmethod and classmethod,"
What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?
","python,oop,methods,python-decorators,",https://stackoverflow.com/questions/136097/difference-between-staticmethod-and-classmethod,https://stackoverflow.com, difference staticmethod classmethod
"867916,",268490,jQuery document.createElement equivalent?,"
I'm refactoring some old JavaScript code and there's a lot of DOM manipulation going on.
var d = document;
var odv = d.createElement(""div"");
odv.style.display = ""none"";
this.OuterDiv = odv;

var t = d.createElement(""table"");
t.cellSpacing = 0;
t.className = ""text"";
odv.appendChild(t);

I would like to know if there is a better way to do this using jQuery. I've been experimenting with:
var odv = $.create(""div"");
$.append(odv);
// And many more

But I'm not sure if this is any better.
","javascript,jquery,html,dom,dhtml,",https://stackoverflow.com/questions/268490/jquery-document-createelement-equivalent,https://stackoverflow.com, jquery document createelement equivalent 
"9229645,",1960473,Get all unique values in a JavaScript array (remove duplicates),"
I have an array of numbers that I need to make sure are unique. I found the code snippet below on the internet and it works great until the array has a zero in it. I found this other script here on Stack Overflow that looks almost exactly like it, but it doesn't fail.
So for the sake of helping me learn, can someone help me determine where the prototype script is going wrong?
Array.prototype.getUnique = function() {
 var o = {}, a = [], i, e;
 for (i = 0; e = this[i]; i++) {o[e] = 1};
 for (e in o) {a.push (e)};
 return a;
}

More answers from duplicate question:

Remove duplicate values from JS array

Similar question:

Get all non-unique values (i.e.: duplicate/more than one occurrence) in an array

","javascript,arrays,unique,",https://stackoverflow.com/questions/1960473/get-all-unique-values-in-a-javascript-array-remove-duplicates,https://stackoverflow.com, get unique value javascript array  remove duplicates 
"9899372,",799981,$(document).ready equivalent without jQuery,"
I have a script that uses $(document).ready, but it doesn't use anything else from jQuery. I'd like to lighten it up by removing the jQuery dependency.
How can I implement my own $(document).ready functionality without using jQuery? I know that  using window.onload will not be the same, as window.onload fires after all images, frames, etc. have been loaded.
","javascript,jquery,pageload,",https://stackoverflow.com/questions/799981/document-ready-equivalent-without-jquery,https://stackoverflow.com,   document  ready equivalent without jquery
"3394835,400739,",36901,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,"
In the following method definitions, what does the * and ** do for param2?
def foo(param1, *param2):
def bar(param1, **param2):

","python,syntax,parameter-passing,variadic-functions,argument-unpacking,",https://stackoverflow.com/questions/36901/what-does-double-star-asterisk-and-star-asterisk-do-for-parameters,https://stackoverflow.com,     double star asterisk     star asterisk  parameters 
